City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Tukrah,LY,79.21,clear sky,32.53,20.58,استراحة لاقروتا
12,Hithadhoo,MV,82.72,few clouds,-0.6,73.08,Scoop Guest House
22,Teguise,ES,75.2,few clouds,29.06,-13.56,B&B La Casona de Nazaret
39,Hilo,US,84.2,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
40,Erzin,TR,82.99,clear sky,36.96,36.2,Artemis Otel
43,Bethel,US,91.99,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
44,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
48,San Fernando,PH,80.6,scattered clouds,15.03,120.69,Maharlika Hostel
52,Sabzevar,IR,82.36,clear sky,36.21,57.68,پارکینگ وسایل سنگین جنوب
56,Dwarka,IN,82.9,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
58,Jamestown,US,82.99,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
61,Kot Addu,PK,91.4,smoke,30.47,70.97,Mohammad Ayub General Store
67,Ixtapa,MX,90.0,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
68,Lompoc,US,82.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
71,Gat,IL,79.0,clear sky,31.61,34.76,רגע בנחת
73,Bela,IN,79.83,clear sky,25.93,81.98,Siddharth Hotel
74,Avarua,CK,77.0,few clouds,-21.21,-159.78,Paradise Inn
76,Butaritari,KI,82.9,overcast clouds,3.07,172.79,Isles Sunset Lodge
80,Salalah,OM,77.0,drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
86,Logan,US,91.0,haze,41.74,-111.83,SpringHill Suites by Marriott Logan
87,Ponta Do Sol,PT,75.2,scattered clouds,32.67,-17.1,Hotel do Campo
93,Winnemucca,US,95.0,haze,40.97,-117.74,Winners Inn Casino
94,Broome,US,84.99,few clouds,42.25,-75.83,Chenango Valley State Park
95,North Bend,US,80.01,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
97,Mayo,US,84.99,clear sky,38.89,-76.51,Resorts Resource Group International
98,Georgetown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
103,Ilihan,PH,78.01,overcast clouds,13.63,121.08,Kubo-Beach Cottage
108,Puerto Ayora,EC,75.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
109,Council Bluffs,US,93.2,broken clouds,41.26,-95.86,Holiday Inn Express & Suites Council Bluffs - Conv Ctr Area
111,Atuona,PF,78.21,light rain,-9.8,-139.03,Villa Enata
116,Haikou,CN,77.0,clear sky,20.05,110.34,Sun City Restaurant
117,Kaohsiung,TW,78.8,light intensity shower rain,22.62,120.31,Kindness Hotel
123,Hamilton,US,81.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
125,Kavieng,PG,82.2,clear sky,-2.57,150.8,Nusa Island Retreat
126,Isangel,VU,76.33,clear sky,-19.55,169.27,Volcano Sea View Tree House
134,Acaponeta,MX,92.5,broken clouds,22.5,-105.36,Hotel Casa Blanca
137,Dingle,PH,76.86,overcast clouds,11.0,122.67,Camp Pasica
142,Kapaa,US,84.2,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
145,Guerrero Negro,MX,89.26,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
151,Tual,ID,79.12,scattered clouds,-5.67,132.75,Grand Vilia Hotel
157,Westport,US,87.01,clear sky,41.14,-73.36,The Westport Inn
158,Mwene-Ditu,CD,76.6,scattered clouds,-7.0,23.45,Hôtel Kamas
160,Shelburne,CA,80.6,few clouds,44.08,-80.2,The Retreat at the Farm
169,Ghatsila,IN,80.37,light rain,22.6,86.48,VISHAL HOTEL
171,Turayf,SA,82.4,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
174,Bathsheba,BB,86.0,few clouds,13.22,-59.52,Atlantis Hotel
175,Bandarbeyla,SO,76.39,broken clouds,9.49,50.81,REER XOOSHLE GROUP
179,Bloomingdale,US,87.01,light rain,27.89,-82.24,Travel Club for Free
183,Vila Do Maio,CV,80.6,few clouds,15.13,-23.22,Residence 'I Delfini'
184,La Joya,MX,90.0,broken clouds,18.67,-99.47,HOTEL BUGAMBILIAS
186,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
189,Lelydorp,SR,93.2,few clouds,5.7,-55.23,SCSV BagunMuda veld
191,Tabou,CI,75.74,light rain,4.42,-7.35,hotêl doufoulougou
199,Praia Da Vitoria,PT,75.2,few clouds,38.73,-27.07,Hotel Branco I
200,Alexandria,EG,80.6,clear sky,31.22,29.96,Royal Crown Hotel
201,Little Current,CA,75.2,overcast clouds,45.98,-81.92,Hawberry Motel
202,Changde,CN,75.04,clear sky,29.05,111.68,Kangshida Hotel
207,Jacmel,HT,89.6,few clouds,18.23,-72.53,Hotel Florita
209,Bireun,ID,76.73,light rain,5.2,96.7,OYO 2303 Hotel Blang Raya
214,Itoman,JP,78.8,shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
215,Nuevitas,CU,87.8,broken clouds,21.55,-77.26,Hotel Caonaba
216,Port Blair,IN,82.15,overcast clouds,11.67,92.75,Fortune Resort Bay Island
218,Harur,IN,78.73,light rain,12.07,78.5,sangil roadways
220,Cockburn Town,TC,84.11,light rain,21.46,-71.14,Osprey Beach Hotel
226,Goderich,CA,80.01,few clouds,43.75,-81.72,Harmony Inn
236,Maceio,BR,78.8,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
237,Tatawin,TN,89.6,clear sky,32.93,10.45,Sangho Privilege Tataouine
239,Anito,PH,78.71,light rain,12.45,125.29,The Yellow House
247,Victoria,HK,82.0,few clouds,22.29,114.16,Mini Hotel Central
248,Makakilo City,US,86.0,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
250,Whitefish,US,82.4,clear sky,48.41,-114.34,Best Western Rocky Mountain Lodge
253,Nakamura,JP,75.43,broken clouds,32.98,132.93,Hotel Crown Hills Nakamura
255,Morgantown,US,89.01,broken clouds,39.63,-79.96,Morgantown Marriott at Waterfront Place
256,Tecoanapa,MX,86.16,scattered clouds,16.52,-98.75,Hotel Manglares
260,Jalu,LY,81.82,clear sky,29.03,21.55,Jalu Hotel
263,Kualakapuas,ID,75.2,scattered clouds,-3.01,114.39,Guest House Izonk
264,Kenora,CA,78.8,shower rain,49.82,-94.43,Maynard Lake Lodge
266,Aguimes,ES,86.0,clear sky,27.91,-15.45,Hotel Villa de Aguimes
268,Cayenne,GF,87.8,clear sky,4.93,-52.33,Hôtel Le Dronmi
270,Kudahuvadhoo,MV,84.0,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
271,Sur,OM,81.5,overcast clouds,22.57,59.53,Sur Plaza Hotel
273,Maracacume,BR,78.39,light rain,-2.04,-45.96,Motel imperial
278,Natal,BR,78.8,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
279,Coos Bay,US,80.01,clear sky,43.37,-124.22,Best Western Holiday Hotel
280,Manggar,ID,80.55,overcast clouds,-2.88,108.27,Guest Hotel
290,Salinopolis,BR,80.78,clear sky,-0.61,-47.36,Hotel Salinópolis
291,Amarante Do Maranhao,BR,88.39,broken clouds,-5.57,-46.74,Hotéis Caçulinha
295,Limon,CR,86.0,light rain,10.0,-83.03,Hotel Playa Bonita
304,Sao Filipe,CV,79.18,scattered clouds,14.9,-24.5,Tortuga B&B
307,Amahai,ID,76.06,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
308,Loandjili,CG,75.2,broken clouds,-4.76,11.86,Résidence ARCHANGE
309,Pemangkat,ID,78.15,moderate rain,1.17,108.97,Kost H.Syamsuddin
310,Eydhafushi,MV,83.88,clear sky,5.1,73.07,Soneva Fushi
311,Timbiqui,CO,79.38,light rain,2.77,-77.67,hotel diana
314,Lorengau,PG,80.83,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
315,Rosarito,MX,87.8,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
317,Simpang,ID,75.67,overcast clouds,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
318,Ahuimanu,US,86.0,clear sky,21.44,-157.84,Paradise Bay Resort
320,Muisne,EC,80.6,broken clouds,0.6,-80.03,Quinta Samay
321,Bengkulu,ID,75.38,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
322,Picos,BR,88.27,clear sky,-7.08,-41.47,Entre Rios Hotel
324,Tacarigua,VE,76.66,moderate rain,10.09,-67.92,Posada Tacarigua C.A.
325,San Jose,US,93.99,smoke,37.34,-121.89,The Westin San Jose
326,Gushikawa,JP,78.8,light rain,26.35,127.87,Kirari Guest House
328,Male,MV,84.2,few clouds,4.17,73.51,Hotel Octave Maldives
334,Bewar,IN,79.05,clear sky,27.22,79.3,Nehru Yuva Mandal Bewar
337,Puerto Escondido,MX,86.0,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
346,Padang,ID,77.88,light rain,-0.95,100.35,Mercure Padang
347,Ocos,GT,77.0,thunderstorm with heavy rain,14.51,-92.19,La Bajadita
351,Cabo San Lucas,MX,89.6,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
354,Aquiraz,BR,80.6,few clouds,-3.9,-38.39,Hotel Laguna Blu
355,Cam Ranh,VN,82.4,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
358,San Cristobal,VE,93.2,scattered clouds,7.77,-72.22,Pirineos
360,Axim,GH,75.11,few clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
361,Santa Isabel Do Rio Negro,BR,85.8,light rain,-0.41,-65.02,Hotel GSA
362,Sipe Sipe,BO,78.8,few clouds,-17.45,-66.38,Cabañas Oasis Marino
368,Porto Velho,BR,78.8,clear sky,-8.76,-63.9,Ecos Hotel Conforto
384,Sundargarh,IN,77.4,moderate rain,22.12,84.03,V Residence
387,San Patricio,MX,89.6,broken clouds,19.22,-104.7,Hotel Cabo Blanco
388,Portland,US,78.01,broken clouds,45.52,-122.68,Portland Marriott City Center
389,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
393,Puerto Del Rosario,ES,78.8,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
