City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Current Description
0,Fortuna,US,40.6,-124.16,66.0,77,20,14.99,few clouds
1,Rikitea,PF,-23.12,-134.97,66.92,72,79,18.19,broken clouds
2,Mahebourg,MU,-20.41,57.7,71.6,73,40,11.41,scattered clouds
3,Bluff,NZ,-46.6,168.33,45.0,98,100,4.0,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,44.6,77,40,16.11,shower rain
5,Pala,TD,9.36,14.9,72.23,95,100,1.79,light rain
6,Albany,US,42.6,-73.97,84.0,43,0,8.16,clear sky
7,Fort Nelson,CA,58.81,-122.7,64.4,68,75,9.17,broken clouds
8,Gornoye Loo,RU,43.71,39.6,69.8,77,40,8.95,scattered clouds
9,Tondela,PT,40.52,-8.08,64.99,79,17,1.21,few clouds
10,Nikolskoye,RU,59.7,30.79,64.4,68,96,6.71,overcast clouds
11,Tukrah,LY,32.53,20.58,79.21,74,0,14.52,clear sky
12,Hithadhoo,MV,-0.6,73.08,82.72,81,12,14.76,few clouds
13,Dikson,RU,73.51,80.55,47.88,76,94,8.23,overcast clouds
14,Carnarvon,AU,-24.87,113.63,64.4,82,100,11.41,overcast clouds
15,Falun,SE,60.6,15.63,62.6,77,16,11.41,few clouds
16,Saint George,US,37.1,-113.58,102.99,24,1,9.17,clear sky
17,Klaksvik,FO,62.23,-6.59,46.4,81,100,14.99,light rain
18,Port Alfred,ZA,-33.59,26.89,60.46,65,0,9.19,clear sky
19,Torbay,CA,47.67,-52.73,69.01,49,20,9.17,few clouds
20,Ribeira Grande,PT,38.52,-28.7,73.4,83,75,4.7,broken clouds
21,Slavgorodskoye,RU,53.02,78.64,57.09,80,100,6.67,light rain
22,Teguise,ES,29.06,-13.56,75.2,83,20,28.86,few clouds
23,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,53.6,71,0,8.95,clear sky
24,Hobart,AU,-42.88,147.33,44.6,81,20,9.17,few clouds
25,Pisco,PE,-13.7,-76.22,64.4,77,40,10.29,scattered clouds
26,Nabire,ID,-3.37,135.48,73.35,91,66,3.98,moderate rain
27,Busselton,AU,-33.65,115.33,48.99,86,50,10.69,scattered clouds
28,Cachoeirinha,BR,-29.95,-51.09,62.6,45,0,9.17,clear sky
29,New Norfolk,AU,-42.78,147.06,44.01,88,98,1.99,light rain
30,Mareeba,AU,-17.0,145.43,59.0,93,37,1.12,scattered clouds
31,Hermanus,ZA,-34.42,19.23,57.0,86,21,1.99,few clouds
32,Shenkursk,RU,62.11,42.9,57.74,92,0,3.74,clear sky
33,Port Elizabeth,ZA,-33.92,25.57,55.4,93,0,4.7,clear sky
34,Viseu,PT,40.66,-7.91,64.99,1,6,5.01,clear sky
35,Luderitz,NA,-26.65,15.16,66.42,25,0,6.67,clear sky
36,Tuktoyaktuk,CA,69.45,-133.04,57.2,76,20,10.29,few clouds
37,Rottingdean,GB,50.81,-0.06,63.0,82,21,5.01,few clouds
38,Punta Arenas,CL,-53.15,-70.92,42.8,69,40,32.21,scattered clouds
39,Hilo,US,19.73,-155.09,84.2,66,75,4.7,broken clouds
40,Erzin,TR,36.96,36.2,82.99,34,0,5.99,clear sky
41,Mataura,NZ,-46.19,168.86,45.0,98,98,4.0,overcast clouds
42,Saint-Philippe,RE,-21.36,55.77,69.8,63,34,8.05,scattered clouds
43,Bethel,US,41.37,-73.41,91.99,35,1,11.41,clear sky
44,Vaini,TO,-21.2,-175.2,77.0,83,20,10.29,few clouds
45,Achinsk,RU,56.27,90.5,49.57,94,0,6.29,clear sky
46,Ikalamavony,MG,-21.15,46.58,56.91,69,1,7.76,clear sky
47,Chokurdakh,RU,70.63,147.92,34.5,95,98,6.69,overcast clouds
48,San Fernando,PH,15.03,120.69,80.6,94,40,5.82,scattered clouds
49,Concarneau,FR,47.88,-3.92,62.6,93,75,8.05,broken clouds
50,Kenai,US,60.55,-151.26,66.2,67,20,6.93,few clouds
51,Cape Town,ZA,-33.93,18.42,54.0,93,2,6.93,clear sky
52,Sabzevar,IR,36.21,57.68,82.36,16,0,12.1,clear sky
53,Skjervoy,NO,70.03,20.97,54.72,98,100,4.72,moderate rain
54,Dunedin,NZ,-45.87,170.5,48.0,93,54,5.99,broken clouds
55,Sitka,US,57.05,-135.33,60.8,77,75,3.36,broken clouds
56,Dwarka,IN,22.24,68.97,82.9,87,100,16.6,overcast clouds
57,Nuuk,GL,64.18,-51.72,42.8,93,90,6.93,overcast clouds
58,Jamestown,US,42.1,-79.24,82.99,51,75,4.7,broken clouds
59,Eldorado,BR,-23.79,-54.28,57.07,70,0,3.51,clear sky
60,Skagen,DK,57.72,10.58,66.0,78,80,20.0,broken clouds
61,Kot Addu,PK,30.47,70.97,91.4,63,0,4.7,smoke
62,Qaanaaq,GL,77.48,-69.36,38.28,82,100,2.66,overcast clouds
